Week;DisplayValue;New_Cases;Cumulative_Cases
1;05 January 2014;2;2
2;12 January 2014;;2
3;19 January 2014;;2
4;26 January 2014;5;7
5;02 February 2014;3;10
6;09 February 2014;5;15
7;16 February 2014;3;18
8;23 February 2014;5;23
9;02 March 2014;9;32
10;09 March 2014;7;39
11;16 March 2014;27;66
12;23 March 2014;17;83
13;30 March 2014;28;111
14;06 April 2014;29;140
15;13 April 2014;27;167
16;20 April 2014;16;183
17;27 April 2014;10;193
18;04 May 2014;12;205
19;11 May 2014;11;216
20;18 May 2014;8;224
21;25 May 2014;27;251
22;01 June 2014;50;301
23;08 June 2014;26;327
24;15 June 2014;33;360
25;22 June 2014;18;378
26;29 June 2014;24;402
27;06 July 2014;4;406
28;13 July 2014;6;412
29;20 July 2014;8;420
30;27 July 2014;42;462
31;03 August 2014;26;488
32;10 August 2014;21;509
33;17 August 2014;44;553
34;24 August 2014;76;629
35;31 August 2014;104;733
36;07 September 2014;103;836
37;14 September 2014;94;930
38;21 September 2014;82;1012
39;28 September 2014;130;1142
40;05 October 2014;97;1239
41;12 October 2014;140;1379
42;19 October 2014;118;1497
43;26 October 2014;87;1584
44;02 November 2014;86;1670
45;09 November 2014;152;1822
