Week;DisplayValue;New_Cases;Cumulative_Cases
1;05 January 2014;;0
2;12 January 2014;;0
3;19 January 2014;;0
4;26 January 2014;;0
5;02 February 2014;;0
6;09 February 2014;;0
7;16 February 2014;;0
8;23 February 2014;;0
9;02 March 2014;0;0
10;09 March 2014;0;0
11;16 March 2014;0;0
12;23 March 2014;1;1
13;30 March 2014;1;2
14;06 April 2014;3;5
15;13 April 2014;1;6
16;20 April 2014;1;7
17;27 April 2014;;7
18;04 May 2014;1;8
19;11 May 2014;4;12
20;18 May 2014;0;12
21;25 May 2014;1;13
22;01 June 2014;0;13
23;08 June 2014;2;15
24;15 June 2014;18;33
25;22 June 2014;28;61
26;29 June 2014;28;89
27;06 July 2014;25;114
28;13 July 2014;34;148
29;20 July 2014;33;181
30;27 July 2014;78;259
31;03 August 2014;103;362
32;10 August 2014;207;569
33;17 August 2014;336;905
34;24 August 2014;476;1381
35;31 August 2014;449;1830
36;07 September 2014;457;2287
37;14 September 2014;463;2750
38;21 September 2014;458;3208
39;28 September 2014;399;3607
40;05 October 2014;320;3927
41;12 October 2014;205;4132
42;19 October 2014;139;4271
43;26 October 2014;17;4288
44;02 November 2014;2;4290
45;09 November 2014;;4290
