Week;DisplayValue;New_Cases;Cumulative_Cases
1;05 January 2014;;
2;12 January 2014;;
3;19 January 2014;;
4;26 January 2014;;
5;02 February 2014;;
6;09 February 2014;;
7;16 February 2014;;
8;23 February 2014;;
9;02 March 2014;;
10;09 March 2014;;
11;16 March 2014;;
12;23 March 2014;;
13;30 March 2014;;
14;06 April 2014;;
15;13 April 2014;;
16;20 April 2014;;
17;27 April 2014;;
18;04 May 2014;;
19;11 May 2014;2;2
20;18 May 2014;;2
21;25 May 2014;3;5
22;01 June 2014;18;23
23;08 June 2014;34;57
24;15 June 2014;63;120
25;22 June 2014;63;183
26;29 June 2014;52;235
27;06 July 2014;93;328
28;13 July 2014;109;437
29;20 July 2014;83;520
30;27 July 2014;98;618
31;03 August 2014;145;763
32;10 August 2014;138;901
33;17 August 2014;133;1034
34;24 August 2014;174;1208
35;31 August 2014;214;1422
36;07 September 2014;216;1638
37;14 September 2014;219;1857
38;21 September 2014;381;2238
39;28 September 2014;397;2635
40;05 October 2014;408;3043
41;12 October 2014;437;3480
42;19 October 2014;518;3998
43;26 October 2014;482;4480
44;02 November 2014;440;4920
45;09 November 2014;421;5341
46;16 November 2014;533;5874
