Week;DisplayValue;New_Cases;Cumulative_Cases;Country
1;05 January 2014;2;2;Guinea
2;12 January 2014;;2;Guinea
3;19 January 2014;;2;Guinea
4;26 January 2014;5;7;Guinea
5;02 February 2014;3;10;Guinea
6;09 February 2014;5;15;Guinea
7;16 February 2014;3;18;Guinea
8;23 February 2014;5;23;Guinea
9;02 March 2014;9;32;Guinea
10;09 March 2014;7;39;Guinea
11;16 March 2014;27;66;Guinea
12;23 March 2014;17;83;Guinea
13;30 March 2014;28;111;Guinea
14;06 April 2014;29;140;Guinea
15;13 April 2014;27;167;Guinea
16;20 April 2014;16;183;Guinea
17;27 April 2014;10;193;Guinea
18;04 May 2014;12;205;Guinea
19;11 May 2014;11;216;Guinea
20;18 May 2014;8;224;Guinea
21;25 May 2014;27;251;Guinea
22;01 June 2014;50;301;Guinea
23;08 June 2014;26;327;Guinea
24;15 June 2014;33;360;Guinea
25;22 June 2014;18;378;Guinea
26;29 June 2014;24;402;Guinea
27;06 July 2014;4;406;Guinea
28;13 July 2014;6;412;Guinea
29;20 July 2014;8;420;Guinea
30;27 July 2014;42;462;Guinea
31;03 August 2014;26;488;Guinea
32;10 August 2014;21;509;Guinea
33;17 August 2014;44;553;Guinea
34;24 August 2014;76;629;Guinea
35;31 August 2014;104;733;Guinea
36;07 September 2014;103;836;Guinea
37;14 September 2014;94;930;Guinea
38;21 September 2014;82;1012;Guinea
39;28 September 2014;130;1142;Guinea
40;05 October 2014;97;1239;Guinea
41;12 October 2014;140;1379;Guinea
42;19 October 2014;118;1497;Guinea
43;26 October 2014;87;1584;Guinea
44;02 November 2014;93;1677;Guinea
45;09 November 2014;148;1825;Guinea
46;16 November 2014;74;1899;Guinea
1;05 January 2014;;;Sierra Leone
2;12 January 2014;;;Sierra Leone
3;19 January 2014;;;Sierra Leone
4;26 January 2014;;;Sierra Leone
5;02 February 2014;;;Sierra Leone
6;09 February 2014;;;Sierra Leone
7;16 February 2014;;;Sierra Leone
8;23 February 2014;;;Sierra Leone
9;02 March 2014;;;Sierra Leone
10;09 March 2014;;;Sierra Leone
11;16 March 2014;;;Sierra Leone
12;23 March 2014;;;Sierra Leone
13;30 March 2014;;;Sierra Leone
14;06 April 2014;;;Sierra Leone
15;13 April 2014;;;Sierra Leone
16;20 April 2014;;;Sierra Leone
17;27 April 2014;;;Sierra Leone
18;04 May 2014;;;Sierra Leone
19;11 May 2014;2;2;Sierra Leone
20;18 May 2014;;2;Sierra Leone
21;25 May 2014;3;5;Sierra Leone
22;01 June 2014;18;23;Sierra Leone
23;08 June 2014;34;57;Sierra Leone
24;15 June 2014;63;120;Sierra Leone
25;22 June 2014;63;183;Sierra Leone
26;29 June 2014;52;235;Sierra Leone
27;06 July 2014;93;328;Sierra Leone
28;13 July 2014;109;437;Sierra Leone
29;20 July 2014;83;520;Sierra Leone
30;27 July 2014;98;618;Sierra Leone
31;03 August 2014;145;763;Sierra Leone
32;10 August 2014;138;901;Sierra Leone
33;17 August 2014;133;1034;Sierra Leone
34;24 August 2014;174;1208;Sierra Leone
35;31 August 2014;214;1422;Sierra Leone
36;07 September 2014;216;1638;Sierra Leone
37;14 September 2014;219;1857;Sierra Leone
38;21 September 2014;381;2238;Sierra Leone
39;28 September 2014;397;2635;Sierra Leone
40;05 October 2014;408;3043;Sierra Leone
41;12 October 2014;437;3480;Sierra Leone
42;19 October 2014;518;3998;Sierra Leone
43;26 October 2014;482;4480;Sierra Leone
44;02 November 2014;440;4920;Sierra Leone
45;09 November 2014;421;5341;Sierra Leone
46;16 November 2014;533;5874;Sierra Leone
1;05 January 2014;;;Liberia
2;12 January 2014;;;Liberia
3;19 January 2014;;;Liberia
4;26 January 2014;;;Liberia
5;02 February 2014;;;Liberia
6;09 February 2014;;;Liberia
7;16 February 2014;;;Liberia
8;23 February 2014;;;Liberia
9;02 March 2014;;;Liberia
10;09 March 2014;;;Liberia
11;16 March 2014;;;Liberia
12;23 March 2014;1;1;Liberia
13;30 March 2014;1;2;Liberia
14;06 April 2014;3;5;Liberia
15;13 April 2014;1;6;Liberia
16;20 April 2014;1;7;Liberia
17;27 April 2014;;7;Liberia
18;04 May 2014;1;8;Liberia
19;11 May 2014;4;12;Liberia
20;18 May 2014;;12;Liberia
21;25 May 2014;1;13;Liberia
22;01 June 2014;;13;Liberia
23;08 June 2014;3;16;Liberia
24;15 June 2014;18;34;Liberia
25;22 June 2014;27;61;Liberia
26;29 June 2014;28;89;Liberia
27;06 July 2014;25;114;Liberia
28;13 July 2014;36;150;Liberia
29;20 July 2014;38;188;Liberia
30;27 July 2014;89;277;Liberia
31;03 August 2014;108;385;Liberia
32;10 August 2014;231;616;Liberia
33;17 August 2014;330;946;Liberia
34;24 August 2014;462;1408;Liberia
35;31 August 2014;445;1853;Liberia
36;07 September 2014;471;2324;Liberia
37;14 September 2014;474;2798;Liberia
38;21 September 2014;490;3288;Liberia
39;28 September 2014;398;3686;Liberia
40;05 October 2014;316;4002;Liberia
41;12 October 2014;219;4221;Liberia
42;19 October 2014;164;4385;Liberia
43;26 October 2014;104;4489;Liberia
44;02 November 2014;106;4595;Liberia
45;09 November 2014;103;4698;Liberia
46;16 November 2014;80;4778;Liberia
